ECO_NAME,ECO_ID,GROUP_ID
Lake,-9998,
Albertine Rift montane forests,30101,4
Atlantic Equatorial coastal forests,30102,6
Central Congolian lowland forests,30104,
East African montane forests,30108,4
Eastern Arc forests,30109,
Eastern Congolian swamp forests,30110,
Knysna-Amatole montane forests,30115,4
KwaZulu-Cape coastal forest mosaic,30116,6
Maputaland coastal forest mosaic,30119,6
Northeastern Congolian lowland forests,30124,
Northern Zanzibar-Inhambane coastal forest mosaic,30125,6
Northwestern Congolian lowland forests,30126,
Southern Zanzibar-Inhambane coastal forest mosaic,30128,6
Western Congolian swamp forests,30129,
Zambezian Cryptosepalum dry forests,30203,
Angolan Miombo woodlands,30701,1
Angolan Mopane woodlands,30702,2
Central Zambezian Miombo woodlands,30704,1
Eastern Miombo woodlands,30706,1
Itigi-Sumbu thicket,30708,
Kalahari Acacia-Baikiaea woodlands,30709,3
Northern Acacia-Commiphora bushlands and thickets,30711,
Serengeti volcanic grasslands,30714,
Somali Acacia-Commiphora bushlands and thickets,30715,
Southern Acacia-Commiphora bushlands and thickets,30716,
Southern Africa bushveld,30717,
Southern Congolian forest-savanna mosaic,30718,
Southern Miombo woodlands,30719,1
Victoria Basin forest-savanna mosaic,30721,
Western Congolian forest-savanna mosaic,30723,
Western Zambezian grasslands,30724,
Zambezian and Mopane woodlands,30725,2
Zambezian Baikiaea woodlands,30726,3
East African halophytics,30901,5
Etosha Pan halophytics,30902,5
Zambezian coastal flooded savanna,30906,5
Zambezian flooded grasslands,30907,5
Zambezian halophytics,30908,5
Angolan montane forest-grassland mosaic,31001,4
Angolan scarp savanna and woodlands,31002,
Drakensberg alti-montane grasslands and woodlands,31003,4
"Drakensberg montane grasslands, woodlands and forests",31004,4
East African montane moorlands,31005,4
Eastern Zimbabwe montane forest-grassland mosaic,31006,4
Highveld grasslands,31009,
Maputaland-Pondoland bushland and thickets,31012,
Rwenzori-Virunga montane moorlands,31013,4
South Malawi montane forest-grassland mosaic,31014,4
Southern Rift montane forest-grassland mosaic,31015,4
Albany thickets,31201,
Lowland fynbos and renosterveld,31202,
Montane fynbos and renosterveld,31203,4
Ile Europa and Bassas da India xeric scrub,31308,
Kalahari xeric savanna,31309,
Kaokoveld desert,31310,
Nama Karoo,31314,
Namib desert,31315,
Namibian savanna woodlands,31316,
Succulent Karoo,31322,
Central African mangroves,31401,
East African mangroves,31402,
Southern Africa mangroves,31405,
